county,adults on arts males,adults on arts females,total adults on arts,aids related deaths(all),aids related deaths (adult),aids related deaths(children),deaths 10-19 years (adolescents),deaths 15-24 years (young adults),children on art,prevention of mother to child transmission need,prevention of mother to child transmission receiving,pmct coverage,mother to child transmission rate,new hiv infections,new infections(male),new infections(female),new infections(children 0-14years),new infections(adult 15+years),new infections(male 15+years),new infections(female 15+years),new infections(15-24 years),new infections(male 15-24 years),new infections(female 15-24 years),new infections(15-49),new infections(male) 15-49,new infections(female) 15-49,new infections(10-19),plhiv(all sexes),plhiv(children 0-14years),plhiv(adult 15+years),plhiv(adult 15+years) male,plhiv(adult 15+years) female,plhiv(15-24 years),plhiv(15-24 years)- male,plhiv(15-24 years)- female,plhiv adolescents (10-19),hiv prevelance(all sexes),hiv prevelance(male),hiv prevelance(female),incidence (per 1000),valid vl <15yrs,suppressed <15yrs,valid vl 15+male,suppressed 15+male,valid vl 15+female,suppressed 15+female
Baringo,1777,3736,5513,174,155,20,9,15,241,363,153,0.42100000000000004,0.22510000000000002,122,44,78,32,90,28,62,37,8,29,85,26,59,15,5225,287,4938,1657,3281,630,246,385,370,0.0092,0.0059,0.0125,0.2,116,106,1365,1284,2943,2797
Embu,3482,7617,11099,179,165,13,8,13,365,316,307,0.971,0.066,99,30,69,22,77,19,58,27,4,23,71,17,55,10,9782,356,9425,3091,6334,719,277,442,469,0.0148,0.009,0.0207,0.15,130,105,2034,1906,4786,4550
Kitui,6784,17776,24560,546,497,53,37,62,1107,559,542,0.9697,0.0664,360,105,255,87,273,59,213,112,16,96,255,53,202,50,29790,1436,28353,8413,19940,3359,1338,2021,2200,0.0277,0.0158,0.038900000000000004,0.33,501,418,3220,3000,8627,8221
Narok,3755,8280,12035,452,400,58,25,38,718,476,566,1.1899,0.061200000000000004,356,129,227,98,258,80,178,104,21,83,245,74,171,40,13598,849,12749,4286,8463,1629,629,1000,1100,0.0147,0.0095,0.0199,0.35,396,324,2841,2676,6451,6073
Taita Taveta,2220,4955,7175,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,107,1497,1395,3643,3441
Vihiga,5315,10851,16166,257,214,41,15,24,715,660,562,0.852,0.10039999999999999,265,96,170,91,174,50,124,71,17,54,161,47,114,34,19659,1051,18608,6649,11958,1901,786,1115,1200,0.0355,0.0242,0.0465,0.42,504,456,4251,3939,9126,8671
Kwale,3723,10062,13785,363,303,69,29,40,881,787,583,0.7412000000000001,0.1325,410,140,270,119,291,79,213,114,20,94,271,70,201,53,21622,1285,20337,6643,13695,2303,921,1382,1600,0.0291,0.0178,0.0402,0.51,392,314,2492,2307,7005,6606
Kilifi,7728,21336,29064,321,270,53,22,33,1413,1703,889,0.5219,0.1959,369,117,252,88,281,72,209,113,20,93,260,65,195,52,19096,978,18117,6507,11609,1908,783,1125,1200,0.0146,0.0101,0.018799999999999997,0.28,637,547,4625,4247,13375,12642
Marsabit,315,912,1227,32,28,4,3,4,68,94,48,0.5127,0.1986,40,11,28,8,32,7,25,14,2,12,31,7,24,5,1725,111,1614,592,1022,231,94,138,163,0.0045,0.003,0.0062,0.1,5,5,27,26,52,50
Migori,24526,52588,77114,1041,929,120,67,138,3306,2840,3128,1.1013,0.061200000000000004,1572,549,1022,288,1283,405,878,679,154,525,1200,391,800,345,99510,4894,94616,29763,64853,11756,4555,7201,6600,0.1109,0.0702,0.14859999999999998,2.05,2066,1849,20074,18833,43323,41557
West Pokot,1328,2774,4102,103,91,15,6,10,211,159,134,0.8432999999999999,0.10289999999999999,86,33,53,27,59,19,41,25,5,20,56,17,39,10,3113,220,2893,1001,1892,414,163,251,271,0.0065,0.0043,0.0089,0.16,80,63,911,812,1928,1767
Kisii,12175,26824,38999,344,310,32,19,40,1404,1207,984,0.815,0.11109999999999999,359,122,236,64,295,90,205,133,30,104,275,85,191,70,32875,1308,31566,10223,21344,3426,1336,2090,1900,0.028999999999999998,0.018600000000000002,0.0384,0.35,555,511,7473,7316,17183,16854
Lamu,584,1270,1854,30,26,4,2,3,103,93,92,0.9867,0.061500000000000006,36,12,24,7,29,9,20,10,2,8,26,8,19,5,1810,78,1731,640,1091,157,59,98,92,0.0131,0.0088,0.0176,0.27,103,87,299,275,580,533
